IND_ID,Lab_ID,Sample_ID,Sample,Recapture,Detection_index,N_detections_individual,Individual_recaptured,longitude,latitude,Sex,Sex_status,Sample_sex,Sex_source_match,assignment,Coordinate_source,All_data_Recapture,All_data_Detection_index,.row,.lon,.lat,.id,.occ,col,row,grid_id,.idx,x,y,n_points,.clust,.id_final,.keep,Final_ID,Source_IND_ID
NEW009,MT-7318,BRP_PA-02/07,MT-7318,0,1,1,0,89.831013,27.717368,M,consistent_available_calls,M,matched_sex_call,provisional_six_locus_new_group,locations.csv,0,1,368,89.831013,27.717368,NEW009,1,89,95,G1494,336,187500,3069500,7,1,NEW009,TRUE,NEW009,NEW009
NEW010,MT-7425,BRP_PA-05/01,MT-7425,1,3,3,1,90.952657,27.414503,M,consistent_available_calls,M,matched_sex_call,provisional_six_locus_new_group,locations.csv,1,3,371,90.952657,27.414503,NEW010,1,199,60,G0788,337,297500,3034500,5,1,NEW010,TRUE,NEW010,NEW010
NEW011,MT-7444,BRP_PA-06/03,MT-7444,0,1,1,0,91.309024,27.750643,U,no_sex_call,NA,matched_no_sex_call,provisional_six_locus_new_group,locations.csv,0,1,372,91.309024,27.750643,NEW011,1,235,96,G1516,338,333500,3070500,7,1,NEW011,TRUE,NEW011,NEW011
NEW012,MT-7447,BRP_PA-06/06,MT-7447,0,1,1,0,91.280236,27.632835,U,no_sex_call,NA,matched_no_sex_call,provisional_six_locus_new_group,locations.csv,0,1,373,91.280236,27.632835,NEW012,1,232,83,G1349,339,330500,3057500,9,1,NEW012,TRUE,NEW012,NEW012
NEW013,MT-7453,BRP_PA-06/12,MT-7453,1,2,3,1,91.463366,27.755529,U,no_sex_call,NA,lab_ID_not_in_sexing_file,provisional_six_locus_new_group,locations.csv,1,2,375,91.463366,27.755529,NEW013,1,250,97,G1534,340,348500,3071500,2,1,NEW013,TRUE,NEW013,NEW013
NEW013,MT-7455,BRP_PA-06/14,MT-7455,1,3,3,1,91.37692,27.717784,U,no_sex_call,NA,matched_no_sex_call,provisional_six_locus_new_group,locations.csv,1,3,376,91.37692,27.717784,NEW013,1,241,92,G1470,341,339500,3066500,3,2,NEW013,TRUE,NEW013,NEW013
NEW014,MT-7454,BRP_PA-06/13,MT-7454,0,1,1,0,91.374412,27.719001,F,consistent_available_calls,F,matched_sex_call,provisional_six_locus_new_group,locations.csv,0,1,377,91.374412,27.719001,NEW014,1,241,93,G1477,342,339500,3067500,2,1,NEW014,TRUE,NEW014,NEW014
NEW015,MT-7475,BRP_PA-07/06,MT-7475,0,1,3,1,91.902454,27.209506,U,no_sex_call,NA,lab_ID_not_in_sexing_file,provisional_six_locus_new_group,locations.csv,0,1,378,91.902454,27.209506,NEW015,1,293,36,G0325,343,391500,3010500,3,1,NEW015,TRUE,NEW015,NEW015
NEW015,MT-7480,BRP_PA-07/11,MT-7480,1,3,3,1,91.908172,27.377549,U,no_sex_call,NA,matched_no_sex_call,provisional_six_locus_new_group,locations.csv,1,3,380,91.908172,27.377549,NEW015,1,294,54,G0637,344,392500,3028500,3,2,NEW015,TRUE,NEW015,NEW015
NEW016,MT-7483,BRP_PA-07/14,MT-7483,1,2,2,1,91.915156,27.397237,F,consistent_available_calls,F,matched_sex_call,provisional_six_locus_new_group,locations.csv,1,2,382,91.915156,27.397237,NEW016,1,294,56,G0684,345,392500,3030500,1,1,NEW016,TRUE,NEW016,NEW016
