"camstn","elevation_m"
"PNP_008",3660.8529899137
"PNP_009",2631.12862534229
"PNP_010",2240.76208914905
"PNP_011",3216.32052119172
"PNP_012",3674.30827536515
"PNP_013",1966.52222295782
"PNP_014",3935.20392071982
"PNP_015",3831.90511764678
"PNP_016",3666.19450947992
"PNP_018",3913.39453367123
"PNP_019",3804.78273246962
"PNP_020",3666.03640101043
"PNP_021",3454.34905422541
"PNP_022",3193.07166747492
"PNP_023",3716.20099784652
"PNP_024",2798.37611779257
"PNP_025",2992.99336022026
"PNP_026",1924.15742314831
"PNP_027",3950.91867577705
"PNP_028",2994.87785126767
"PNP_029",2850.68361538646
"PNP_030",2511.73865384098
"PNP_031",3358.86550253947
"PNP_032",2298.28759294115
"PNP_033",2944.71495970785
"PNP_034",2157.70269578181
"PNP_035",2047.53167067854
"PNP_036",3048.73716632279
"PNP_038",3369.3626884612
"PNP_039",2670.52501284496
"PNP_040",1778.12197685612
"PNP_041",2968.53206378514
"PNP_042",851.584223544193
"PNP_043",2258.4667744918
"PNP_044",2479.64276674168
"PNP_045",2069.08879445713
"PNP_046",2213.45591569762
"PNP_047",1468.74133327481
"PNP_048",1162.94186865242
"PNP_049",1602.94149782084
"PNP_050",1075.30973724942
"PWS_001",269.051444794745
"PWS_002",396.184758419745
"PWS_003",381.805125097117
"PWS_004",407.20992413023
"PWS_005",436.912873621063
"PWS_006",312.291926037158
"PWS_007",365.99921868588
"PWS_008",794.740770931946
"PWS_009",581.14330491346
"PWS_010",365.425147685566
"PWS_011",357.405174821464
"PWS_012",840.522350198973
"PWS_013",393.512379594223
"PWS_014",1003.18607279235
"PWS_015",478.282095326796
"PWS_016",270.081328697361
"PWS_017",340.461701052811
"PWS_018",683.894261524869
"PWS_019",366.846643038172
"PWS_020",255.587728354121
"PWS_021",1112.18786268702
"PWS_022",287.024058251096
"PWS_023",257.233260875218
"PWS_024",383.903666710484
"PWS_025",1201.47915084663
"PWS_026",316.41759459792
"PWS_027",418.247909897355
"PWS_028",331.799100914851
"PWS_029",249.564596196319
"PWS_030",291.706623718721
"PWS_031",390.274150731237
"PWS_TS01",431.875042061024
"RMNP_001",414.427259690074
"RMNP_002",822.075124187232
"RMNP_003",660.566653135343
"RMNP_004",381.881854537308
"RMNP_005",1978.8578168034
"RMNP_006",772.166507423072
"RMNP_007",459.565536679271
"RMNP_008",1651.56911855691
"RMNP_009",1902.48978852685
"RMNP_010",374.108939603824
"RMNP_011",1294.81603857758
"RMNP_012",2253.01587855566
"RMNP_013",285.037729810849
"RMNP_014",2108.23132122922
"RMNP_015",539.611177408965
"RMNP_016",2297.22344235998
"RMNP_017",1780.30892339729
"RMNP_018",417.916529145642
"RMNP_019",1005.21841932915
"RMNP_020",652.450977344475
"RMNP_021",280.79857491018
"RMNP_022",1182.84738886292
"RMNP_023",2379.46869879066
"RMNP_024",1405.63484125897
"RMNP_025",338.479248777988
"RMNP_026",1191.15419910939
"RMNP_027",2268.52846441819
"RMNP_028",397.794335905667
"RMNP_029",1796.94390143082
"RMNP_030",1675.90426602062
"RMNP_031",2012.27814507099
"RMNP_032",341.546195416809
"RMNP_033",697.462897076468
"RMNP_035",435.331699578471
"RMNP_036",1257.29404310906
